time,x,y,z
19:37.9,-0.260986,-0.249023,0.656494
19:37.9,-0.275391,-0.380615,0.882813
19:37.9,-0.243408,-0.665039,1.196777
19:37.9,-0.145508,-1.003174,1.531738
19:37.9,-0.059082,-1.269043,1.741943
19:37.9,-0.013184,-1.41748,1.804688
19:37.9,0.01416,-1.452637,1.76416
19:38.0,0.043457,-1.428711,1.694092
19:38.0,0.043457,-1.361816,1.626953
19:38.0,-0.007568,-1.25293,1.549316
19:38.0,-0.063721,-1.116455,1.466064
19:38.0,-0.050049,-0.986816,1.336426
19:38.0,-0.01123,-0.911621,1.144531
19:38.0,-0.043457,-0.841553,0.955078
19:38.0,-0.061035,-0.764648,0.830322
19:38.0,-0.015137,-0.759521,0.700439
19:38.0,0.023926,-0.747803,0.543945
19:38.1,0.01001,-0.749268,0.409912
19:38.1,-0.055908,-0.751953,0.327637
19:38.1,-0.206543,-0.773193,0.352051
19:38.1,-0.446045,-0.802734,0.403809
19:38.1,-0.729004,-0.818604,0.412598
19:38.1,-1.051758,-0.862549,0.371582
19:38.1,-1.615234,-0.855469,0.411621
19:38.1,-2.320068,-0.439697,0.046387
19:38.1,-2.541992,0.204834,-0.536133
19:38.1,-2.623291,1.092041,-1.39917
19:38.2,-2.675781,2.666992,-2.873291
19:38.2,-2.735352,4.629883,-3.765381
19:38.2,-2.272705,4.652588,-3.581055
19:38.2,-2.087158,3.666016,-3.058838
19:38.2,-2.805664,2.679443,-2.730469
19:38.2,-3.896729,1.105469,-1.992432
19:38.2,-5.90625,-0.689209,-0.233398
19:38.2,-7.670166,-2.359619,2.451904
19:38.2,-7.876221,-5.025635,5.525146
19:38.2,-6.143311,-6.432617,7.97998
19:38.3,2.920898,-7.838623,7.984619
19:38.3,5.672607,-8,7.999756
19:38.3,2.094238,-5.49292,5.562744
19:38.3,-1.125244,-1.836182,2.88501
19:38.3,-1.253418,-0.09082,1.789307
19:38.3,-0.612549,-0.113037,1.93457
19:38.3,-0.046875,-0.514893,1.737061
19:38.3,0.096436,-0.738281,1.353027
19:38.3,0.022949,-0.891846,1.089111
19:38.3,-0.111816,-0.928955,0.714111
19:38.4,-0.236816,-0.858643,0.369629
19:38.4,-0.472168,-0.824951,0.152344
19:38.4,-0.930176,-0.650635,-0.011719
19:38.4,-1.520752,-0.342041,-0.335205
19:38.4,-1.684082,0.19751,-0.832031
19:38.4,-1.693604,0.827393,-1.28833
19:38.4,-1.844727,1.666504,-1.79541
19:38.4,-2.009521,2.551025,-2.177246
19:38.4,-1.783447,2.894043,-2.330811
19:38.4,-1.518555,2.587891,-2.14209
19:38.5,-1.462891,1.863281,-1.884277
19:38.5,-1.998047,0.965576,-1.295654
19:38.5,-2.944092,-0.08374,-0.200684
19:38.5,-3.380127,-1.838135,1.786133
19:38.5,-2.944336,-4.15625,5.413574
19:38.5,0.506836,-5.738037,7.367432
19:38.5,3.888916,-6.766846,6.727295
19:38.5,3.607422,-5.9646,5.381592
19:38.5,1.278076,-3.655762,3.427246
19:38.5,-0.095703,-1.831787,1.971924
19:38.6,-0.326172,-0.870117,1.685547
19:38.6,-0.29834,-0.556152,1.731445
19:38.6,-0.30957,-0.539307,1.581299
19:38.6,-0.404541,-0.497559,1.357178
19:38.6,-0.487305,-0.44165,1.10083
19:38.6,-0.553955,-0.396484,0.81958
19:38.6,-0.672607,-0.356445,0.572754
19:38.6,-0.886475,-0.296631,0.373291
19:38.6,-1.164307,-0.168457,0.076904
19:38.6,-1.354736,0.098877,-0.333984
19:38.7,-1.384033,0.489502,-0.705322
19:38.7,-1.369141,1.001221,-1.175293
19:38.7,-1.222168,1.651123,-1.666504
19:38.7,-1.086426,2.19873,-1.910889
19:38.7,-0.960938,2.322754,-1.941895
19:38.7,-0.708984,1.987061,-1.786133
19:38.7,-0.739014,1.45166,-1.379883
19:38.7,-1.19165,0.869629,-0.691162
19:38.7,-1.961914,0.23999,0.155762
19:38.7,-2.329102,-1.109619,1.627686
19:38.8,-1.562744,-3.371338,4.421387
19:38.8,0.161865,-4.443115,6.692139
19:38.8,2.56958,-4.381348,6.189697
19:38.8,3.37793,-4.462646,4.378906
19:38.8,1.759766,-3.437012,3.006348
19:38.8,0.745361,-2.092529,2.068848
19:38.8,0.209473,-1.1521,1.582031
19:38.8,0.061279,-0.642822,1.287354
19:38.8,0.067871,-0.57666,1.190674
19:38.8,0.080078,-0.586914,1.099609
19:38.9,-0.012207,-0.539307,0.964844
19:38.9,-0.090576,-0.462891,0.796143
19:38.9,-0.199707,-0.388184,0.570313
19:38.9,-0.371582,-0.247803,0.311279
19:38.9,-0.599609,-0.096924,0.066162
19:38.9,-0.880371,0.08667,-0.329346
19:38.9,-1.094971,0.523438,-0.936279
19:38.9,-1.239258,1.268311,-1.600342
19:38.9,-1.337646,1.987305,-1.904785
19:38.9,-1.439209,2.382568,-1.709229
19:39.0,-1.3125,2.237793,-1.365723
19:39.0,-1.330078,1.729004,-0.947021
19:39.0,-1.843262,1.026367,-0.333496
19:39.0,-2.35083,0.052002,0.555176
19:39.0,-2.260254,-1.35498,2.165039
19:39.0,-1.334717,-3.381104,4.664307
19:39.0,1.110596,-4.840088,5.620117
19:39.0,3.639404,-5.464844,4.253906
19:39.0,3.374023,-5.09082,2.38916
19:39.0,2.115967,-3.7854,1.496582
19:39.1,0.947021,-2.324951,1.382813
19:39.1,0.35083,-1.365234,1.734863
19:39.1,0.306641,-0.77832,1.842285
19:39.1,0.138184,-0.638184,1.648926
19:39.1,0.125,-0.609375,1.264648
19:39.1,0.218506,-0.686768,0.958984
19:39.1,0.144531,-0.674805,0.711426
19:39.1,0.039795,-0.554443,0.575195
19:39.1,-0.106201,-0.447266,0.318359
19:39.1,-0.376221,-0.324707,0.086182
19:39.2,-0.654297,-0.219482,-0.131836
19:39.2,-0.908203,-0.088623,-0.29834
19:39.2,-1.069092,0.310791,-0.549072
19:39.2,-1.219482,0.802734,-0.680176
19:39.2,-1.431641,1.544434,-0.5
19:39.2,-1.293213,2.681641,-0.520996
19:39.2,-1.348389,3.324951,-0.807861
