Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:19.0,0.607178,1.098877,0.180908
25:19.0,0.644287,1.128418,0.162598
25:19.0,0.681641,1.150879,0.153809
25:19.0,0.678955,1.167725,0.106445
25:19.0,0.668457,1.175049,0.0354
25:19.0,0.687256,1.163086,-0.003174
25:19.0,0.663574,1.148682,-0.050781
25:19.1,0.665771,1.125977,-0.062744
25:19.1,0.677002,1.070313,-0.071777
25:19.1,0.654785,1.011963,-0.086182
25:19.1,0.611816,0.912598,-0.111816
25:19.1,0.549316,0.793701,-0.154297
25:19.1,0.49585,0.722412,-0.218994
25:19.1,0.459473,0.645996,-0.261475
25:19.1,0.439453,0.567871,-0.260742
25:19.1,0.437012,0.585205,-0.304688
25:19.1,0.440918,0.612549,-0.325439
25:19.2,0.416992,0.577393,-0.223145
25:19.2,0.355713,0.511719,-0.166504
25:19.2,0.309814,0.312988,-0.097412
25:19.2,0.226074,0.342285,-0.114746
25:19.2,0.067383,0.276611,-0.19873
25:19.2,-0.207031,0.397949,-0.181641
25:19.2,-0.759521,0.614502,-0.065674
25:19.2,-1.679199,0.626709,-0.134766
25:19.2,-2.3396,-0.041016,0.138672
25:19.2,-2.773926,-1.330811,0.80542
25:19.3,-3.414063,-3.494629,1.885254
25:19.3,-3.611084,-5.223633,3.03418
25:19.3,-3.96167,-4.983887,2.811768
25:19.3,-4.17627,-3.137207,1.968994
25:19.3,-4.801025,-0.829346,1.131104
25:19.3,-6.734375,1.836182,0.634033
25:19.3,-8,6.11084,1.292969
25:19.3,-7.590088,7.999756,3.525635
25:19.3,-1.979248,7.984375,4.859619
25:19.3,1.231934,7.98999,3.740967
25:19.4,1.73291,7.939453,0.39917
25:19.4,1.102295,7.134033,-2.556885
25:19.4,0.642334,5.357178,-2.597656
25:19.4,0.540283,4.848389,-1.200684
25:19.4,0.000977,3.989258,-0.445801
25:19.4,-0.66748,2.824219,-0.061035
25:19.4,-1.075928,1.843262,0.397461
25:19.4,-1.100342,1.045654,0.664063
25:19.4,-0.891113,0.589111,0.487061
25:19.4,-0.662109,0.391602,0.257568
25:19.5,-0.436035,0.313721,0.205322
25:19.5,-0.197021,0.336182,0.217041
25:19.5,0.00293,0.512451,0.2229
25:19.5,0.120117,0.686035,0.273438
25:19.5,0.209961,0.841553,0.356445
25:19.5,0.294922,1.003662,0.409668
25:19.5,0.354492,1.143066,0.429688
25:19.5,0.41333,1.222656,0.414063
25:19.5,0.454102,1.261719,0.33667
25:19.5,0.477539,1.239746,0.221436
25:19.6,0.492432,1.209473,0.133789
25:19.6,0.508057,1.200439,0.062012
25:19.6,0.482178,1.168945,0.003174
25:19.6,0.4021,1.086182,-0.020508
25:19.6,0.327881,0.992432,-0.020508
25:19.6,0.26709,0.873779,-0.038574
25:19.6,0.202393,0.73999,-0.054199
25:19.6,0.14502,0.632324,-0.071777
25:19.6,0.109375,0.531738,-0.081787
25:19.6,0.072266,0.433594,-0.077881
25:19.7,0.022949,0.30957,-0.040527
25:19.7,-0.028076,0.191895,0.058594
25:19.7,-0.054199,0.11792,0.100098
25:19.7,-0.072998,0.102051,0.056885
25:19.7,-0.139404,0.16626,0.043457
25:19.7,-0.372803,0.233398,0.093506
25:19.7,-0.79126,0.227783,0.158691
25:19.7,-1.299561,0.214111,0.164795
25:19.7,-1.755127,0.070313,0.158447
25:19.7,-2.192627,-0.64917,0.416992
25:19.8,-2.682129,-2.426758,1.044189
25:19.8,-3.03125,-4.159668,1.983887
25:19.8,-3.136475,-4.733398,2.401611
25:19.8,-3.263428,-4.133789,2.30127
25:19.8,-3.403564,-2.770264,1.696533
25:19.8,-4.139404,-1.02002,1.157959
25:19.8,-6.141602,1.313232,0.946777
25:19.8,-8,6.024414,1.483643
25:19.8,-7.409912,7.999756,3.23584
25:19.8,-2.667969,7.999756,4.540771
25:19.9,1.26416,7.984375,3.681152
25:19.9,1.45166,7.999756,0.330566
25:19.9,0.93457,6.928223,-2.55957
25:19.9,0.966797,5.596436,-2.678223
25:19.9,0.803711,4.990723,-1.40332
25:19.9,0.168457,4.044189,-0.526367
25:19.9,-0.598877,2.799072,-0.062988
25:19.9,-0.970459,1.703369,0.401123
25:19.9,-0.90918,1.054932,0.495605
25:19.9,-0.722656,0.682373,0.263428
25:20.0,-0.533447,0.510498,0.0354
25:20.0,-0.311035,0.490234,-0.018555
25:20.0,-0.11499,0.608643,0.035645
25:20.0,0.048584,0.734619,0.145508
25:20.0,0.161621,0.907715,0.244141
25:20.0,0.304688,1.08374,0.296387
25:20.0,0.434814,1.260742,0.266602
25:20.0,0.468506,1.374268,0.234619
25:20.0,0.484863,1.406494,0.202637
25:20.0,0.54834,1.421143,0.200684
25:20.1,0.562988,1.371338,0.085205
25:20.1,0.55957,1.30542,-0.057129
25:20.1,0.491211,1.207275,-0.150391
25:20.1,0.392578,1.094727,-0.223877
25:20.1,0.28125,0.981934,-0.21582
25:20.1,0.186768,0.853271,-0.186523
25:20.1,0.092285,0.727295,-0.202637
25:20.1,0.020264,0.619385,-0.186523
25:20.1,-0.008545,0.525391,-0.181885
25:20.1,-0.059814,0.432617,-0.127686
25:20.2,-0.127686,0.352051,-0.057861
25:20.2,-0.209473,0.25708,0.043945
25:20.2,-0.282471,0.18335,0.154297
25:20.2,-0.327148,0.153809,0.243652
25:20.2,-0.404053,0.20459,0.325195
25:20.2,-0.543213,0.29834,0.418457
25:20.2,-0.754639,0.412109,0.460693
25:20.2,-1.150879,0.465576,0.413818
25:20.2,-1.615479,0.308594,0.385498
25:20.2,-1.876953,-0.093506,0.523682
25:20.3,-2.043457,-0.667969,0.8125
25:20.3,-2.434814,-1.989258,1.412109
25:20.3,-2.987061,-3.759033,2.171143
25:20.3,-3.326172,-4.661865,2.711426
25:20.3,-3.416992,-4.416504,2.266846
25:20.3,-3.416748,-3.193604,1.455322
25:20.3,-4.025146,-1.497559,0.996826
25:20.3,-6.042236,1.157471,1.126953
25:20.3,-8,5.806885,1.759766
25:20.3,-8,7.999756,3.259766
25:20.4,-4.576416,7.984375,5.14502
25:20.4,0.526611,7.984375,5.351807
25:20.4,1.491455,7.999756,2.410156
25:20.4,0.638428,7.441162,-1.948242
25:20.4,0.810547,5.716553,-3.658691
25:20.4,1.164795,4.77002,-2.75293
25:20.4,0.870605,4.197021,-1.384033
25:20.4,0.087646,3.392578,-0.851807
25:20.4,-0.623291,2.546631,-0.488281
25:20.4,-1.016846,1.728271,0.084229
25:20.5,-1.022461,1.110352,0.453125
25:20.5,-0.805176,0.754395,0.503174
25:20.5,-0.618652,0.520264,0.406006
25:20.5,-0.496338,0.37085,0.258057
25:20.5,-0.300293,0.404785,0.147217
25:20.5,-0.097168,0.59082,0.138428
25:20.5,0.051758,0.803711,0.230225
25:20.5,0.188721,1.006104,0.34375
25:20.5,0.343018,1.228271,0.413086
25:20.5,0.498291,1.432373,0.441406
25:20.6,0.615967,1.551758,0.367188
25:20.6,0.670654,1.567871,0.232178
25:20.6,0.673828,1.512939,0.061279
25:20.6,0.614258,1.373291,-0.0979
25:20.6,0.508789,1.208984,-0.210205
25:20.6,0.396484,1.060547,-0.276123
25:20.6,0.279541,0.928955,-0.270996
25:20.6,0.203369,0.811035,-0.26709
25:20.6,0.15625,0.725586,-0.259277
25:20.6,0.102539,0.649414,-0.219482
25:20.7,-0.001465,0.557373,-0.161865
25:20.7,-0.10083,0.458252,-0.07373
25:20.7,-0.198975,0.391357,0.031738
25:20.7,-0.269043,0.310059,0.175049
25:20.7,-0.315186,0.268311,0.283691
