time,x,y,z
22:49.9,-8,-1.324463,0.466553
22:49.9,-8,-4.47998,5.166748
22:49.9,-8,-8,7.999756
22:49.9,-6.81543,-8,7.999756
22:49.9,0.822266,-8,7.168701
22:49.9,0.621582,-8,1.195557
22:50.0,-0.119141,-8,1.169189
22:50.0,1.283447,-7.935303,4.866943
22:50.0,1.368408,-6.821045,5.352295
22:50.0,0.180908,-4.085205,3.924805
22:50.0,-0.476318,-2.023926,2.842773
22:50.0,-0.798828,-0.784668,2.127686
22:50.0,-0.873291,-0.24707,1.350098
22:50.0,-0.711426,-0.158691,0.624512
22:50.0,-0.312744,-0.452637,0.156738
22:50.0,-0.099854,-0.744141,-0.193359
22:50.1,0.116699,-0.84375,-0.505615
22:50.1,0.199463,-0.76123,-0.565186
22:50.1,0.21875,-0.582031,-0.465576
22:50.1,0.205078,-0.395752,-0.340088
22:50.1,0.186279,-0.248291,-0.265625
22:50.1,0.216797,-0.188232,-0.317627
22:50.1,0.203613,-0.210449,-0.366211
22:50.1,0.210449,-0.252441,-0.416504
22:50.1,0.266113,-0.322266,-0.422607
22:50.1,0.335205,-0.430908,-0.414795
22:50.2,0.343262,-0.498535,-0.473877
22:50.2,0.360107,-0.569824,-0.493652
22:50.2,0.340576,-0.663574,-0.441895
22:50.2,0.295898,-0.738037,-0.372314
22:50.2,0.257568,-0.774902,-0.34668
22:50.2,0.166016,-0.723877,-0.32666
22:50.2,0.041504,-0.603271,-0.346191
22:50.2,-0.071045,-0.500488,-0.368164
22:50.2,-0.182861,-0.418457,-0.448486
22:50.2,-0.287354,-0.276855,-0.587402
22:50.3,-0.269287,-0.121826,-0.791016
22:50.3,-0.241943,-0.08252,-0.936279
22:50.3,-0.254395,-0.092529,-1.021729
22:50.3,-0.32959,-0.140625,-1.092773
22:50.3,-0.444824,-0.228271,-1.131348
22:50.3,-0.66748,-0.501221,-0.798096
22:50.3,-1.535645,-0.947754,-0.190918
22:50.3,-2.986328,-1.627197,0.284668
22:50.3,-6.171387,-2.390137,1.10083
22:50.3,-8,-1.365967,0.345215
22:50.4,-8,5.122559,-5.418945
22:50.4,-8,7.999756,-8
22:50.4,-8,7.999756,-7.103027
22:50.4,-8,6.468994,-5.049561
22:50.4,-8,2.510986,-2.558594
22:50.4,-8,0.493164,-2.3396
22:50.4,-8,-1.425049,-1.014404
22:50.4,-8,-4.593506,4.555908
22:50.4,-8,-7.33374,7.72876
22:50.4,-7.805908,-8,7.999756
22:50.5,-4.515381,-8,7.999756
22:50.5,-1.196777,-8,5.371582
22:50.5,-0.557373,-8,1.583008
22:50.5,1.603516,-8,5.094727
22:50.5,2.445313,-8,7.209473
22:50.5,0.13623,-5.79541,5.915039
22:50.5,-1.495605,-1.325439,4.135254
22:50.5,-1.807617,0.299316,2.505615
22:50.5,-1.31665,0.332031,1.230713
22:50.5,-0.625,-0.592529,0.344971
22:50.6,-0.095215,-1.345947,-0.046143
22:50.6,0.108643,-1.596924,-0.289307
22:50.6,0.148438,-1.511963,-0.350098
22:50.6,0.20874,-1.375,-0.192871
22:50.6,0.268555,-1.188965,0.031738
22:50.6,0.302979,-0.98584,0.187012
22:50.6,0.296387,-0.811523,0.257813
22:50.6,0.298828,-0.71875,0.179688
22:50.6,0.318359,-0.736572,0.068115
22:50.6,0.353027,-0.75293,0.007324
22:50.7,0.40332,-0.772217,0.014404
22:50.7,0.462891,-0.825439,-0.00708
22:50.7,0.487061,-0.906006,-0.083496
22:50.7,0.484619,-0.973877,-0.243652
22:50.7,0.480713,-0.947266,-0.375244
22:50.7,0.430664,-0.882813,-0.443359
22:50.7,0.368652,-0.821045,-0.450684
22:50.7,0.307129,-0.743408,-0.384033
22:50.7,0.229492,-0.6521,-0.275635
22:50.7,0.121338,-0.592773,-0.169189
22:50.8,-0.061768,-0.578125,-0.078125
22:50.8,-0.304443,-0.562744,-0.106689
22:50.8,-0.5625,-0.54541,-0.244141
22:50.8,-0.828369,-0.591553,-0.330322
22:50.8,-1.240479,-0.932861,0.13501
22:50.8,-2.590332,-1.510742,0.895264
22:50.8,-4.874512,-2.044434,1.059082
22:50.8,-7.750488,-1.504639,1.276611
22:50.8,-8,1.382568,-0.984375
22:50.8,-8,7.306885,-6.467285
22:50.9,-8,7.999756,-7.816406
22:50.9,-8,7.999756,-6.69873
22:50.9,-8,4.370361,-4.145752
22:50.9,-8,1.022705,-2.086426
22:50.9,-8,0.425781,-2.749756
22:50.9,-8,-1.117432,0.556641
22:50.9,-8,-4.597412,6.884033
22:50.9,-8,-7.593994,7.999756
22:50.9,-2.682861,-8,7.999756
22:50.9,3.012939,-8,7.291748
22:51.0,2.208008,-8,2.954834
22:51.0,0.203125,-8,4.044189
22:51.0,-0.419189,-6.202637,6.72168
22:51.0,-0.903076,-2.919678,5.855957
22:51.0,-1.306396,-1.35083,3.499756
22:51.0,-1.375488,-0.636475,2.032715
22:51.0,-1.21875,-0.413574,1.445557
22:51.0,-0.927002,-0.68335,0.859131
22:51.0,-0.535645,-0.897949,0.124512
22:51.0,-0.223633,-0.992676,-0.759277
22:51.1,0.320068,-1.031982,-1.298584
22:51.1,-0.055664,-1.899658,-0.36084
22:51.1,-3.56665,-3.323975,0.512939
22:51.1,-7.393799,-2.462402,-0.227051
22:51.1,-8,2.192139,-3.679443
22:51.1,-8,7.06958,-7.722656
22:51.1,-6.512939,7.999756,-7.194336
22:51.1,-4.411377,7.999756,-4.906006
22:51.1,-4.500244,6.397949,-3.65625
22:51.1,-5.76001,3.577881,-2.729004
22:51.2,-7.671143,1.966064,-2.235107
22:51.2,-8,-0.500977,1.359863
22:51.2,-8,-5.328857,6.666016
22:51.2,-5.973145,-8,7.999756
22:51.2,2.331787,-8,7.999756
22:51.2,5.971436,-8,7.002441
22:51.2,2.087646,-7.935547,2.471924
22:51.2,-0.667969,-5.856201,1.155518
22:51.2,0.071777,-3.042725,4.299072
22:51.2,0.414795,-2.577148,4.398193
22:51.3,-0.148438,-1.831543,3.013672
22:51.3,-0.901367,-1.102295,1.964355
22:51.3,-1.368164,-0.553467,0.831543
22:51.3,-1.380859,-0.165283,0.285645
22:51.3,-1.03125,-0.195801,0.395752
22:51.3,-0.698975,-0.524902,0.44751
22:51.3,-0.407471,-0.788818,0.033691
22:51.3,-0.023926,-1.114746,-0.388428
22:51.3,-0.030762,-1.772949,-0.198975
22:51.3,-1.897217,-3.028564,0.85791
22:51.4,-5.885498,-3.387207,1.012939
22:51.4,-8,-0.965332,-1.176758
22:51.4,-8,5.050293,-4.967041
22:51.4,-7.847168,7.999756,-5.825195
22:51.4,-6.588623,7.999756,-4.257813
22:51.4,-6.381104,7.613037,-4.075928
22:51.4,-5.793213,3.389648,-2.69458
22:51.4,-6.577637,1.463135,-1.51001
22:51.4,-8,0.766113,-1.532471
22:51.4,-8,-2.170654,2.22876
22:51.5,-8,-6.002686,6.782715
22:51.5,-7.886475,-8,7.998291
22:51.5,2.815674,-8,7.991455
22:51.5,4.627197,-8,6.037598
22:51.5,2.970459,-8,1.283936
22:51.5,0.611328,-6.265137,1.696777
22:51.5,-0.055664,-3.489014,3.578613
22:51.5,-0.290527,-2.141846,3.481934
22:51.5,-0.418457,-1.547119,2.560059
22:51.5,-0.727539,-1.203369,1.589844
22:51.6,-1.021484,-0.95459,0.782227
22:51.6,-1.064453,-0.829102,0.212402
22:51.6,-0.838867,-0.737305,-0.158691
22:51.6,-0.421875,-0.884033,-0.123779
22:51.6,0.202881,-1.051758,-0.168701
22:51.6,1.133545,-1.339355,-1.069092
22:51.6,0.149414,-2.838135,0.137939
22:51.6,-5.464355,-5.078125,1.68457
22:51.6,-7.953125,-5.017578,1.212646
22:51.6,-8,4.329346,-4.888428
22:51.7,-8,7.999756,-5.881592
22:51.7,-8,7.999756,-4.593018
22:51.7,-8,7.491943,-4.070557
22:51.7,-8,3.057861,-1.962402
22:51.7,-8,0.364258,-2.525391
22:51.7,-8,-2.728516,2.447021
22:51.7,-8,-7.07666,7.539307
22:51.7,-8,-8,7.999756
22:51.7,-0.929932,-8,7.999756
22:51.7,4.111328,-8,3.759766
22:51.8,2.875,-8,1.602539
22:51.8,1.338623,-8,4.849365
22:51.8,-0.541504,-6.202393,5.633301
22:51.8,-2.033691,-2.276367,4.207764
22:51.8,-2.399658,-0.451904,2.588379
22:51.8,-2.185791,0.051758,1.451416
22:51.8,-1.674805,-0.032715,0.749756
22:51.8,-1.131836,-0.419189,0.212646
22:51.8,-0.563965,-0.803711,-0.060059
22:51.8,-0.251465,-1.317627,-0.059082
22:51.9,-0.56543,-2.261963,0.464844
22:51.9,-3.470459,-3.680908,1.77002
22:51.9,-7.370117,-3.631592,0.660645
22:51.9,-8,3.135498,-4.37085
22:51.9,-8,7.999756,-6.537842
22:51.9,-7.505615,7.999756,-4.82251
22:51.9,-6.39624,7.798584,-4.37085
22:51.9,-6.16748,5.237305,-3.308594
22:51.9,-6.683105,1.713379,-1.586426
22:51.9,-7.971924,0.341064,-0.496094
22:52.0,-8,-1.349365,2.96167
22:52.0,-8,-5.586182,7.222168
22:52.0,-5.191895,-8,7.999756
22:52.0,4.539307,-8,7.355957
22:52.0,5.238525,-8,3.970459
22:52.0,1.924805,-7.85083,2.053955
