time,x,y,z
20:35.3,-1.670166,0.263428,-0.346436
20:35.3,-2.073975,0.648682,-0.728516
20:35.3,-2.428467,1.470947,-1.276123
20:35.3,-2.941162,2.868652,-1.942871
20:35.3,-3.625488,4.94165,-2.361816
20:35.3,-4.310303,6.238037,-2.883545
20:35.3,-4.460205,5.612305,-2.899414
20:35.3,-4.563721,4.125732,-2.557617
20:35.3,-5.40332,2.906982,-2.485107
20:35.3,-7.117676,1.346924,-2.280518
20:35.4,-8,-0.095215,-0.734375
20:35.4,-8,-1.406982,2.013672
20:35.4,-8,-5.474854,6.502441
20:35.4,-8,-8,7.999756
20:35.4,0.729492,-8,7.999756
20:35.4,7.474609,-8,5.336914
20:35.4,3.663086,-8,0.339844
20:35.4,-0.049072,-6.169434,0.5271
20:35.4,-0.331055,-1.951904,3.805664
20:35.4,0.32373,-0.520996,4.727783
20:35.5,0.503906,-0.710205,2.925781
20:35.5,0.564941,-1.139893,1.488281
20:35.5,0.678955,-1.459473,0.589355
20:35.5,0.698242,-1.412842,0.205811
20:35.5,0.813232,-1.189453,0.491699
20:35.5,0.790039,-0.982422,0.801758
20:35.5,0.631592,-0.862305,0.790039
20:35.5,0.452393,-0.73584,0.67041
20:35.5,0.325684,-0.633057,0.526123
20:35.5,0.22998,-0.550293,0.409912
20:35.6,0.139648,-0.434326,0.374268
20:35.6,0.108398,-0.330811,0.378174
20:35.6,0.119629,-0.281494,0.396484
20:35.6,0.177734,-0.311279,0.378174
20:35.6,0.213867,-0.354492,0.32373
20:35.6,0.22583,-0.368652,0.283203
20:35.6,0.239502,-0.371826,0.249756
20:35.6,0.223389,-0.325684,0.200928
20:35.6,0.170166,-0.256592,0.152832
20:35.6,0.123047,-0.16748,0.115723
20:35.7,0.078369,-0.056641,0.100586
20:35.7,0.059082,0.024902,0.068115
20:35.7,0.092529,0.050293,0.032959
20:35.7,0.159668,0.025146,-0.012451
20:35.7,0.190186,0.017334,-0.03833
20:35.7,0.172119,0.030518,-0.049316
20:35.7,0.160889,0.010742,-0.043945
20:35.7,0.067871,-0.001221,-0.030762
20:35.7,-0.075684,-0.002686,-0.021973
20:35.7,-0.265381,-0.016846,0.046631
20:35.8,-0.401855,0.012695,0.073242
20:35.8,-0.786621,0.146729,-0.048828
20:35.8,-1.049561,0.383057,-0.246094
20:35.8,-1.303955,0.571045,-0.330566
20:35.8,-1.664063,0.836914,-0.467041
20:35.8,-2.040039,1.171387,-0.756104
20:35.8,-2.684326,2.17627,-1.310303
20:35.8,-3.295654,4.450684,-2.290039
20:35.8,-4.163574,6.767334,-3.225586
20:35.8,-4.929443,6.791748,-3.465576
20:35.9,-5.385742,4.936279,-3.083496
20:35.9,-6.227783,2.930908,-2.945557
20:35.9,-7.99585,0.946533,-2.288574
20:35.9,-8,-1.060059,0.259277
20:35.9,-8,-3.65918,3.717773
20:35.9,-8,-7.848389,7.837402
20:35.9,-2.800293,-8,7.993408
20:35.9,6.640381,-8,7.999756
20:35.9,4.580566,-8,3.911621
20:35.9,0.483398,-7.177979,-0.73877
20:36.0,-0.760254,-3.134766,0.830078
20:36.0,-0.108398,-0.850098,4.098389
20:36.0,0.386475,-0.329102,3.797119
20:36.0,0.236572,-0.279541,2.067627
20:36.0,0.307861,-0.539063,0.89209
20:36.0,0.454834,-0.740723,0.236816
20:36.0,0.563965,-0.600342,0.133545
20:36.0,0.60083,-0.326172,0.249512
20:36.0,0.541504,-0.035889,0.256836
20:36.0,0.541504,0.086426,0.159912
20:36.1,0.551514,0.096436,0.049316
20:36.1,0.524658,0.099854,-0.052246
20:36.1,0.512939,0.062012,-0.207031
20:36.1,0.451172,0.016602,-0.315918
20:36.1,0.371094,0.037109,-0.343018
20:36.1,0.289307,0.050781,-0.286621
20:36.1,0.227295,0.051514,-0.191895
20:36.1,0.211182,-0.023926,-0.042236
20:36.1,0.22876,-0.163818,0.157959
20:36.1,0.300781,-0.355957,0.337891
20:36.2,0.352295,-0.561768,0.52832
20:36.2,0.37207,-0.704346,0.668457
20:36.2,0.373779,-0.770996,0.748535
20:36.2,0.387207,-0.792725,0.838135
20:36.2,0.38208,-0.805664,0.913086
20:36.2,0.371094,-0.818848,0.972412
20:36.2,0.384277,-0.836914,1.032227
20:36.2,0.389893,-0.89502,1.10791
20:36.2,0.399658,-0.977539,1.166748
20:36.2,0.388184,-1.10791,1.223389
20:36.3,0.464844,-1.265625,1.269775
20:36.3,0.634766,-1.452637,1.307861
20:36.3,0.77417,-1.592529,1.268311
